Airline,Delay
CO,1
US,1
AA,1
AA,1
AS,0
CO,1
DL,0
DL,0
DL,1
AA,1
CO,1
DL,1
DL,0
AA,0
AS,0
US,0
B6,0
CO,0
DL,0
CO,0
AS,0
DL,0
AS,0
HA,1
US,1
AS,0
B6,0
B6,0
HA,1
OO,0
OO,0
US,0
US,0
HA,0
OO,0
9E,0
HA,0
OO,0
OH,1
OO,0
US,1
US,0
US,0
HA,0
9E,1
DL,0
OO,1
CO,0
CO,0
EV,0
US,0
XE,0
OO,1
9E,0
9E,1
9E,1
AA,0
CO,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,1
EV,0
OO,0
OO,0
US,0
US,0
US,1
US,0
US,0
XE,1
XE,0
YV,0
HA,0
UA,0
OO,0
YV,0
9E,0
9E,0
9E,0
AA,1
B6,0
CO,1
OH,0
OO,0
XE,0
EV,0
9E,0
9E,0
CO,1
DL,0
DL,0
DL,0
DL,0
EV,0
MQ,0
XE,1
XE,0
XE,1
XE,0
9E,0
9E,1
9E,1
9E,0
AA,0
AA,0
AA,0
CO,0
CO,0
CO,0
CO,0
CO,0
DL,0
DL,1
DL,0
DL,0
DL,0
DL,0
DL,0
DL,1
EV,0
EV,0
EV,0
EV,1
EV,0
OH,0
OH,0
OO,0
OO,0
OO,0
OO,0
US,0
XE,0
XE,0
OO,0
OO,0
UA,0
OO,1
9E,1
B6,0
DL,1
DL,0
DL,1
DL,0
DL,0
EV,0
